sentence,tokens,bio_tags
make me {difficulty: slightly challenging} route please,"make, me, slightly, challenging, route, please","O, O, B-difficulty, I-difficulty, O, O"
Need a {route_length: 17.5 kilometers} route from {start_location: hanevi'im} {loca_start_num: 34} to {end_location: bar ilan} {loca_end_num: 39} that's {difficulty: challenging} level - training for a race next month,"Need, a, 17.5, kilometers, route, from, hanevi'im, 34, to, bar, ilan, 39, that's, challenging, level, -, training, for, a, race, next, month","O, O, B-route_length, I-route_length, O, O, B-start_location, B-loca_start_num, O, B-end_location, I-end_location, B-loca_end_num, O, B-difficulty, O, O, O, O, O, O, O, O"
"Coffee shop at the end please, {route_length: 10-15 km} route from {start_location: pesach street} {loca_start_num: 24}","Coffee, shop, at, the, end, please,, 10-15, km, route, from, pesach, street, 24","O, O, O, O, O, O, B-route_length, I-route_length, O, O, B-start_location, I-start_location, B-loca_start_num"
"Running with my dog, need a {route_length: 15.0 kilometers} route near {start_location: hula valley street} {loca_start_num: 14}","Running, with, my, dog,, need, a, 15.0, kilometers, route, near, hula, valley, street, 14","O, O, O, O, O, O, B-route_length, I-route_length, O, O, B-start_location, I-start_location, I-start_location, B-loca_start_num"
from {start_location: yehudi menuhin street} {loca_start_num: 49} need {difficulty: slightly challenging} path,"from, yehudi, menuhin, street, 49, need, slightly, challenging, path","O, B-start_location, I-start_location, I-start_location, B-loca_start_num, O, B-difficulty, I-difficulty, O"
I need a {route_length: 2.0 kilometers} route from {start_location: here},"I, need, a, 2.0, kilometers, route, from, here","O, O, O, B-route_length, I-route_length, O, O, B-start_location"
Morning run starting at {start_location: esther roth street} {loca_start_num: 8},"Morning, run, starting, at, esther, roth, street, 8","O, O, O, O, B-start_location, I-start_location, I-start_location, B-loca_start_num"
Trying to find a good {route_length: 16 km} run near {start_location: nahalat binyamin street} {loca_start_num: 75},"Trying, to, find, a, good, 16, km, run, near, nahalat, binyamin, street, 75","O, O, O, O, O, B-route_length, I-route_length, O, O, B-start_location, I-start_location, I-start_location, B-loca_start_num"
need a {difficulty: flat and easy} path from {start_location: desert spring} {loca_start_num: 82} to {end_location: damascus gate street} {loca_end_num: 35} that's {route_length: 3 km},"need, a, flat, and, easy, path, from, desert, spring, 82, to, damascus, gate, street, 35, that's, 3, km","O, O, B-difficulty, I-difficulty, I-difficulty, O, O, B-start_location, I-start_location, B-loca_start_num, O, B-end_location, I-end_location, I-end_location, B-loca_end_num, O, B-route_length, I-route_length"
{route_length: 18.5 kilometers} ending {end_location: yosef trumpeldor street} {loca_end_num: 73},"18.5, kilometers, ending, yosef, trumpeldor, street, 73","B-route_length, I-route_length, O, B-end_location, I-end_location, I-end_location, B-loca_end_num"
"{start_location: beit hadfus street} {loca_start_num: 10} to {end_location: jezreel} {loca_end_num: 97}, not too difficult","beit, hadfus, street, 10, to, jezreel, 97, ,, not, too, difficult","B-start_location, I-start_location, I-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num, O, O, O, O"
"Brutal heat today, need a shady {route_length: 19.0 kilometers} route from {start_location: hatamar} {loca_start_num: 57}","Brutal, heat, today,, need, a, shady, 19.0, kilometers, route, from, hatamar, 57","O, O, O, O, O, O, B-route_length, I-route_length, O, O, B-start_location, B-loca_start_num"
"Time trial day, need a flat {route_length: 15.0 kilometers} route from {start_location: rachel imenu street} {loca_start_num: 65}","Time, trial, day,, need, a, flat, 15.0, kilometers, route, from, rachel, imenu, street, 65","O, O, O, O, O, O, B-route_length, I-route_length, O, O, B-start_location, I-start_location, I-start_location, B-loca_start_num"
Ready to run from {start_location: keter} {loca_start_num: 16},"Ready, to, run, from, keter, 16","O, O, O, O, B-start_location, B-loca_start_num"
Need a pre work route around {route_length: 18.5 kilometers} starting at {start_location: hanevi'im} {loca_start_num: 23},"Need, a, pre, work, route, around, 18.5, kilometers, starting, at, hanevi'im, 23","O, O, O, O, O, O, B-route_length, I-route_length, O, O, B-start_location, B-loca_start_num"
"Hey, I'm staying near {start_location: rabbi akiva street} {loca_start_num: 96} and would love a {difficulty: very easy} morning running route to {end_location: kibbutz} {loca_end_num: 22}","Hey,, I'm, staying, near, rabbi, akiva, street, 96, and, would, love, a, very, easy, morning, running, route, to, kibbutz, 22","O, O, O, O, B-start_location, I-start_location, I-start_location, B-loca_start_num, O, O, O, O, B-difficulty, I-difficulty, O, O, O, O, B-end_location, B-loca_end_num"
make me {difficulty: intense} route {route_length: 8 kilometers} beginning {start_location: hayael} {loca_start_num: 60} end point {end_location: hadov street} {loca_end_num: 25},"make, me, intense, route, 8, kilometers, beginning, hayael, 60, end, point, hadov, street, 25","O, O, B-difficulty, O, B-route_length, I-route_length, O, B-start_location, B-loca_start_num, O, O, B-end_location, I-end_location, B-loca_end_num"
"Looking for a route with coffee shops along the way, around {route_length: 2 km}","Looking, for, a, route, with, coffee, shops, along, the, way,, around, 2, km","O, O, O, O, O, O, O, O, O, O, O, B-route_length, I-route_length"
plz plan {difficulty: easy} path {route_length: 3 km} from {start_location: beit hadfus street} {loca_start_num: 64} 2 {end_location: geula street} {loca_end_num: 80},"plz, plan, easy, path, 3, km, from, beit, hadfus, street, 64, 2, geula, street, 80","O, O, B-difficulty, O, B-route_length, I-route_length, O, B-start_location, I-start_location, I-start_location, B-loca_start_num, O, B-end_location, I-end_location, B-loca_end_num"
{route_length: 15 kilometers} path suggestion,"15, kilometers, path, suggestion","B-route_length, I-route_length, O, O"
need {difficulty: medium} route for my mom,"need, medium, route, for, my, mom","O, B-difficulty, O, O, O, O"
from {start_location: usb street} {loca_start_num: 23} need {difficulty: very easy} path,"from, usb, street, 23, need, very, easy, path","O, B-start_location, I-start_location, B-loca_start_num, O, B-difficulty, I-difficulty, O"
senior runner need route from {start_location: tzfania street} {loca_start_num: 54},"senior, runner, need, route, from, tzfania, street, 54","O, O, O, O, O, B-start_location, I-start_location, B-loca_start_num"
want route from {start_location: around here} that's not too hard,"want, route, from, around, here, that's, not, too, hard","O, O, O, B-start_location, I-start_location, O, O, O, O"
good running track for photography,"good, running, track, for, photography","O, O, O, O, O"
What's the best way to do {route_length: 11 km} starting from {start_location: ashkelon} {loca_start_num: 93}?,"What's, the, best, way, to, do, 11, km, starting, from, ashkelon, 93, ?","O, O, O, O, O, O, B-route_length, I-route_length, O, O, B-start_location, B-loca_start_num, O"
hi can u make me a {difficulty: medium} route?,"hi, can, u, make, me, a, medium, route?","O, O, O, O, O, O, B-difficulty, O"
{route_length: 20.0 km} {difficulty: extreme difficulty} track needed,"20.0, km, extreme, difficulty, track, needed","B-route_length, I-route_length, B-difficulty, I-difficulty, O, O"
Rainy day run - need a {difficulty: very easy} {route_length: 15.5 kilometers} route with good pavement from {start_location: cafe tamar} {loca_start_num: 86},"Rainy, day, run, -, need, a, very, easy, 15.5, kilometers, route, with, good, pavement, from, cafe, tamar, 86","O, O, O, O, O, O, B-difficulty, I-difficulty, B-route_length, I-route_length, O, O, O, O, O, B-start_location, I-start_location, B-loca_start_num"
beginner runner needs help with route planning,"beginner, runner, needs, help, with, route, planning","O, O, O, O, O, O, O"
Time for my daily run,"Time, for, my, daily, run","O, O, O, O, O"
good running track for photography,"good, running, track, for, photography","O, O, O, O, O"
need pro level {difficulty: slightly challenging} course {route_length: 9.5 km} from {start_location: mordechai anielewicz street} {loca_start_num: 23} to {end_location: meah shearim} {loca_end_num: 24},"need, pro, level, slightly, challenging, course, 9.5, km, from, mordechai, anielewicz, street, 23, to, meah, shearim, 24","O, O, O, B-difficulty, I-difficulty, O, B-route_length, I-route_length, O, B-start_location, I-start_location, I-start_location, B-loca_start_num, O, B-end_location, I-end_location, B-loca_end_num"
Trying to find a good {route_length: 15.5 km} run near {start_location: pierre koenig} {loca_start_num: 14},"Trying, to, find, a, good, 15.5, km, run, near, pierre, koenig, 14","O, O, O, O, O, B-route_length, I-route_length, O, O, B-start_location, I-start_location, B-loca_start_num"
{route_length: 3 kilometers} track with good scenery,"3, kilometers, track, with, good, scenery","B-route_length, I-route_length, O, O, O, O"
Looking for some hill training - {difficulty: flat and easy} route around {route_length: 6 km} from {start_location: hadov street} {loca_start_num: 53},"Looking, for, some, hill, training, -, flat, and, easy, route, around, 6, km, from, hadov, street, 53","O, O, O, O, O, O, B-difficulty, I-difficulty, I-difficulty, O, O, B-route_length, I-route_length, O, B-start_location, I-start_location, B-loca_start_num"
